Dimension,Entropy,Cinternal,Cexternal
55.0,0.99721956,0.45,0.05
47.0,0.9965547,0.45,0.01
50.0,0.99670124,0.3,0.1
37.0,0.99667925,0.3,0.05
25.0,0.9985677,0.3,0.01
46.0,0.9977513,0.35,0.1
39.0,0.99648005,0.35,0.05
29.0,0.9984096,0.35,0.01
56.0,0.9974623,0.4,0.1
40.0,0.99698794,0.4,0.05
38.0,0.9977428,0.4,0.01
60.0,0.99672276,0.45,0.1
56.0,0.99762964,0.45,0.05
57.0,0.99818146,0.45,0.01
41.0,0.99774635,0.3,0.1
41.0,0.9974979,0.3,0.05
31.0,0.9982093,0.3,0.01
54.0,0.9979449,0.35,0.1
31.0,0.99787396,0.35,0.05
40.0,0.99824804,0.35,0.01
47.0,0.99713546,0.4,0.1
48.0,0.9961217,0.4,0.05
51.0,0.99767804,0.4,0.01
59.0,0.9966045,0.45,0.1
58.0,0.9974802,0.45,0.05
58.0,0.9980961,0.45,0.01
38.0,0.9980141,0.3,0.1
30.0,0.99873286,0.3,0.05
31.0,0.998026,0.3,0.01
41.0,0.9968271,0.35,0.1
